"","RNA1.1.t0.rep2","RNA1.1.t5.rep2","RNA1.1.t10.rep2","RNA1.1.t20.rep2"
"YGR188C",65,24,16,3
"YGR189C",906,557,106,55
"YGR192C",25865,22260,11560,8303
"YGR193C",218,197,72,60
"YGR194C",96,100,22,28
"YGR196C",141,86,44,51
"YGR197C",93,97,36,61
"YGR200C",800,404,115,25
"YGR201C",131,116,41,45
"YGR202C",264,237,70,40
"YGR207C",498,365,110,24
"YGR209C",1188,1173,469,244
"YGR210C",575,525,242,113
"YGR216C",71,32,12,13
"YGR220C",398,101,23,18
"YGR221C",72,30,9,8
"YGR223C",78,53,18,28
"YGR229C",128,77,17,14
"YGR231C",381,294,119,51
"YGR233C",121,54,23,19
"YGR235C",181,97,25,21
"YGR237C",63,24,16,4
"YGR238C",72,95,44,35
"YGR239C",78,37,13,18
"YGR240C",917,590,198,99
"YGR240C-A",45,77,36,50
"YGR241C",188,76,33,33
"YGR244C",172,198,84,81
"YGR245C",666,401,156,88
"YGR246C",66,49,14,7
"YGR250C",62,66,37,84
"YGR253C",678,559,136,40
"YGR255C",246,171,86,55
"YGR257C",306,141,49,53
"YGR258C",47,24,13,12
"YGR261C",334,220,66,26
"YGR262C",157,114,26,15
"YGR263C",57,49,37,21
"YGR264C",699,534,193,77
"YGR267C",547,298,136,39
"YGR268C",50,49,31,19
"YGR271C-A",220,86,12,1
"YGR274C",68,22,7,7
"YGR276C",79,55,10,4
"YGR277C",209,126,30,6
"YGR279C",1023,1168,577,767
"YGR280C",805,651,167,71
"YGR282C",1190,1031,440,268
"YGR283C",126,50,16,13
"YGR284C",677,561,231,103
"YGR285C",3103,2662,1356,982
"YGR286C",65,70,25,23
"YGR287C",21,24,7,2
"YGR289C",26,36,9,17
"YGR295C",299,210,89,40
"YGL263W",235,132,46,19
"YGL256W",103,39,40,31
"YGL255W",78,48,12,14
"YGL253W",6009,5171,1743,542
"YGL250W",18,7,2,5
"YGL248W",115,40,23,15
"YGL247W",196,66,24,24
"YGL245W",1427,1239,622,476
"YGL244W",139,108,39,33
"YGL243W",151,100,31,35
"YGL241W",440,176,40,27
"YGL238W",770,444,157,124
"YGL234W",1012,726,226,76
"YGL233W",69,59,20,17
"YGL232W",204,145,33,14
"YGL228W",338,234,82,97
"YGL227W",63,57,31,20
"YGL226W",107,58,20,10
"YGL225W",1476,933,278,129
"YGL220W",194,120,79,26
"YGL216W",499,200,65,73
"YGL211W",189,61,22,15
"YGL210W",268,226,55,18
"YGL209W",331,144,73,30
"YGL208W",32,15,20,4
"YGL207W",765,544,227,127
"YGL202W",871,684,346,225
"YGL198W",313,179,52,21
"YGL197W",52,50,39,28
"YGL196W",120,131,58,70
"YGL195W",1027,685,297,176
"YGL191W",698,634,208,227
"YGL181W",439,262,67,23
"YGL178W/YGL177W",31,51,31,24
"YGL174W",53,36,12,10
"YGL172W",185,73,27,21
"YGL171W",284,119,14,18
"YGL169W",174,83,29,39
"YGL166W",98,62,30,15
"YGL162W",109,48,16,8
"YGL160W",134,97,45,35
"YGL159W",68,25,5,2
"YGL157W",384,342,113,85
"YGL156W",28,36,29,19
"YGL155W",66,28,10,10
"YGL153W",212,173,57,29
"YGL151W",541,324,99,62
"YGL148W",1627,1209,530,229
"YGL145W",168,87,12,24
"YGL141W",131,70,15,7
"YGL137W",934,641,242,190
"YGL135W",9205,9855,4624,3337
"YGL134W",170,132,59,43
"YGL133W",135,143,77,65
"YGL130W",203,87,21,9
"YGL126W",35,29,15,8
"YGL123W",8875,7339,2816,1510
"YGL119W",173,86,28,11
"YGL117W",42,30,7,8
"YGL116W",119,39,14,13
"YGL115W",452,269,97,84
"YGL114W",74,50,27,18
"YGL113W",84,77,40,40
"YGL111W",329,205,72,33
"YGL106W",152,128,36,24
"YGL105W",709,677,292,177
"YGL103W",14714,14041,6838,5449
"YGL101W",135,96,34,45
"YGL100W",241,256,87,46
"YGL099W",436,433,303,137
"YGL098W",33,56,57,24
"YGL097W",492,319,104,24
"YGL096W",12,49,20,9
"YGL093W",74,35,14,32
"YGL092W",409,167,41,27
"YGL088W",364,236,148,71
"YGL086W",135,81,25,15
"YGL083W",119,31,10,5
"YGL082W",197,89,14,23
"YGL080W",2883,2314,609,385
"YGL079W",58,52,31,12
"YGL073W",324,241,125,182
"YGL071W",179,159,48,79
"YGL068W",319,193,38,26
"YGL067W",207,159,34,35
"YGL066W",54,36,11,9
"YGL062W",296,196,86,62
"YGL060W",88,53,23,9
"YGL059W",43,35,15,15
"YGL058W",70,52,9,6
"YGL055W",814,372,92,64
"YGL053W",30,29,5,6
"YGL050W",112,30,7,8
"YGL047W",104,72,21,11
"YGL045W",32,20,10,12
"YGL043W",105,80,35,13
"YGL041W-A",244,208,60,40
"YGL039W",495,282,96,48
"YGL036W",53,41,19,40
"YGL030W",8005,7170,2783,2758
"YGL029W",639,469,231,145
"YGL022W",914,684,245,130
"YGL021W",125,117,47,32
"YGL019W",591,443,154,85
"YGL017W",80,30,10,5
"YGL016W",248,182,66,31
"YGL014W",599,217,68,74
"YGL012W",1869,1021,383,122
"YGL010W",45,10,9,5
"YGL006W",153,75,44,30
"YGL002W",166,71,25,15
"YGR003W",89,45,15,14
"YGR007W",265,110,29,33
"YGR010W/YGR011W",125,79,41,41
"YGR012W",283,145,34,10
"YGR013W",123,85,31,25
"YGR014W",721,281,78,61
"YGR017W",187,127,22,13
"YGR019W",46,46,33,19
"YGR021W",112,48,20,13
"YGR023W",13,43,28,38
"YGR026W",559,550,249,120
"YGR027W-B/YGR027W-A",1307,935,554,513
"YGR028W",56,34,6,9
"YGR029W",185,137,50,14
"YGR032W",124,73,43,50
"YGR034W",6244,5357,2055,1357
"YGR038W",210,196,65,16
"YGR039W",31,15,5,7
"YGR041W",112,41,13,6
"YGR042W",69,66,21,17
"YGR048W",385,127,48,55
"YGR049W",197,125,56,32
"YGR052W",18,69,31,32
"YGR054W",1007,547,128,100
"YGR055W",293,45,25,18
"YGR056W",226,81,30,24
"YGR059W",3,50,33,42
"YGR060W",3361,2554,1365,1529
"YGR070W",40,30,26,24
"YGR072W",56,50,10,13
"YGR074W",108,47,12,2
"YGR079W",249,114,38,39
"YGR080W",272,159,63,24
"YGR082W",670,362,99,27
"YGR088W",25,36,38,33
"YGR089W",84,50,14,21
"YGR090W",442,133,32,29
"YGR091W",64,37,17,19
"YGR092W",131,58,19,13
"YGR093W",50,51,22,22
"YGR094W",2294,1589,691,575
"YGR096W",77,44,24,7
"YGR097W",201,103,84,41
"YGR099W",182,51,17,13
"YGR100W",141,67,23,20
"YGR101W",157,54,20,18
"YGR103W",921,601,127,30
"YGR105W",694,556,177,52
"YGR108W",121,45,8,6
"YGR109W-B/YGR109W-A",53,80,42,53
"YGR110W",7,4,7,7
"YGR111W",119,65,22,16
"YGR112W",37,18,7,9
"YGR113W",56,42,15,14
"YGR116W",2261,1437,820,811
"YGR118W",6314,4980,2858,1967
"YGR124W",2344,2173,795,413
"YGR125W",219,116,44,38
"YGR127W",44,66,45,13
"YGR131W",21,18,17,6
"YGR133W",71,35,25,20
"YGR134W",207,69,37,23
"YGR135W",532,318,112,34
"YGR136W/YGR137W",372,420,193,78
"YGR140W",110,39,11,9
"YGR141W",55,49,35,20
"YGR142W",372,2745,749,923
"YGR143W",15,47,94,123
"YGR145W",876,562,293,162
"YGR149W",52,27,19,16
"YGR155W",4006,2423,917,362
"YGR156W",149,104,35,22
"YGR157W",500,336,127,103
"YGR161W-C",20,16,11,15
"YGR161W-B/YGR161W-A",200,163,67,79
"YGR162W",84,61,35,21
"YGR163W",269,145,32,16
"YGR165W",160,71,9,19
"YGR166W",113,42,7,6
"YGR167W",397,381,123,108
"YGR170W",43,36,20,30
"YGR173W",315,221,80,25
"YGR174W-A",24,25,6,7
"YGR181W",241,188,55,23
"YGR186W",137,136,42,29
"YGR191W",324,113,25,18
"YGR195W",286,113,22,19
"YGR198W",165,78,34,28
"YGR199W",177,83,44,17
"YGR203W",130,151,64,22
"YGR204W",2209,1623,495,321
"YGR205W",46,44,14,21
"YGR206W",80,68,31,15
"YGR208W",799,438,108,25
"YGR211W",878,706,234,314
"YGR212W",18,223,199,144
"YGR214W",10194,8464,3506,2747
"YGR215W",567,480,286,155
"YGR217W",413,215,149,95
"YGR218W",595,316,123,67
"YGR219W",7,53,28,30
"YGR227W",141,60,10,22
"YGR230W",54,35,12,12
"YGR232W",162,142,48,12
"YGR234W",13202,11142,5748,2921
"YGR243W",33,98,32,32
"YGR248W",12,27,13,10
"YGR251W",83,60,25,11
"YGR252W",63,48,15,7
"YGR254W",512,377,166,70
"YGR256W",15,15,5,3
"YGR260W",613,408,86,20
"YGR266W",137,97,27,7
"YGR270W",163,118,62,59
"YGR271W",225,79,38,25
"YGR275W",135,68,28,12
"YGR278W",148,55,24,23
"YGR281W",202,76,25,40
"YGR296W",313,179,87,82
"YHL050C",203,124,69,54
"YHL047C",436,305,109,42
"YHL040C",153,123,60,18
"YHL035C",264,133,69,72
"YHL034C",1035,963,396,319
"YHL033C",3326,2989,1003,574
"YHL032C",99,81,32,25
"YHL031C",135,104,36,17
"YHL029C",107,65,36,52
"YHL026C",84,50,23,22
"YHL023C",77,40,13,18
"YHL021C",23,38,40,56
"YHL020C",181,65,10,26
"YHL019C",247,119,71,57
"YHL016C",55,37,28,14
"YHL013C",108,54,11,4
"YHL011C",940,511,178,86
"YHL009C",114,52,15,4
"YHL008C",134,171,89,142
"YHL007C",196,113,49,42
"YHL005C",13,51,17,16
"YHL003C",163,145,34,11
"YHR003C",161,83,20,14
"YHR004C",29,32,11,10
"YHR005C",398,164,34,21
"YHR005C-A",1356,680,131,42
"YHR007C",2420,1495,809,969
"YHR007C-A",168,114,56,46
"YHR008C",947,801,309,257
"YHR009C",289,225,95,103
"YHR013C",319,253,92,17
"YHR016C",143,134,79,34
"YHR018C",218,113,27,9
"YHR019C",2536,2109,980,492
"YHR021C",7459,7260,2708,2017
"YHR024C",134,62,18,17
"YHR027C",511,390,103,145
"YHR028C",222,201,92,86
"YHR029C",35,41,16,11
"YHR030C",202,69,29,21
"YHR031C",85,64,16,8
"YHR034C",63,46,5,6
"YHR039C",455,375,121,86
"YHR039C-A",498,418,137,55
"YHR041C",249,105,31,29
"YHR043C",163,144,72,68
"YHR044C",90,34,27,16
"YHR046C",188,89,23,24
"YHR047C",323,226,111,63
"YHR053C",1601,1436,515,352
"YHR054C",127,537,237,391
"YHR055C",1621,1390,510,359
"YHR056C",137,502,247,395
"YHR057C",317,257,101,78
"YHR058C",54,8,2,4
"YHR062C",273,115,21,15
"YHR063C",524,446,206,83
"YHR064C",2818,2525,1120,651
"YHR065C",229,99,12,10
"YHR069C",193,94,28,21
"YHR075C",29,31,7,5
"YHR077C",243,103,45,53
"YHR079C",250,133,80,68
"YHR080C",39,56,30,20
"YHR082C",144,156,88,82
"YHR089C",2348,1528,730,433
"YHR091C",88,69,30,25
"YHR092C",31,65,16,19
"YHR094C",365,124,25,8
"YHR096C",5,14,20,8
"YHR097C",78,75,28,24
"YHR098C",964,620,206,110
"YHR100C",157,110,22,16
"YHR101C",61,51,17,5
"YHR107C",380,235,49,37
"YHR112C",67,37,31,25
"YHR115C",131,55,21,11
"YHR118C",189,40,4,7
"YHR129C",58,20,16,5
"YHR130C",55,31,8,8
"YHR132C",358,222,70,49
"YHR133C",860,665,223,147
"YHR135C",229,181,60,28
"YHR136C",43,24,6,3
"YHR138C",45,45,15,5
"YHR141C",3460,3028,1086,585
"YHR144C",76,50,5,6
"YHR145C",181,336,219,148
"YHR147C",89,50,17,3
"YHR149C",274,81,27,15
"YHR151C",46,36,10,24
"YHR156C",62,22,17,5
"YHR158C",52,34,14,18
"YHR161C",95,83,39,34
"YHR164C",176,92,30,31
"YHR165C",353,172,83,102
"YHR166C",84,16,9,6
"YHR186C",5,19,20,10
"YHR188C",203,165,78,37
"YHR191C",160,55,7,2
"YHR193C",2137,2241,733,628
"YHR198C",92,38,19,20
"YHR199C",228,153,54,38
"YHR201C",464,186,23,17
"YHR203C",4520,4182,1464,1096
"YHR214C-B/YHR214C-C",345,243,132,127
"YHL048W",211,141,43,28
"YHL039W",251,166,48,14
"YHL030W",226,105,42,36
"YHL028W",71,59,27,45
"YHL027W",133,68,54,49
"YHL025W",942,397,125,116
"YHL024W",2,7,12,12
"YHL017W",284,125,39,27
"YHL015W",915,750,319,263
"YHL004W",218,119,35,24
"YHL002W",424,413,161,312
"YHL001W",2204,1605,639,312
"YHR001W",124,104,46,18
"YHR001W-A",134,118,37,35
"YHR002W",49,12,12,9
"YHR006W",72,42,19,16
"YHR010W",4482,4126,1257,733
"YHR011W",36,87,71,44
"YHR012W",360,235,100,18
"YHR017W",80,55,14,15
"YHR020W",1036,704,247,73
"YHR023W",127,85,36,28
"YHR025W",1931,1617,685,390
"YHR026W",573,517,178,79
"YHR032W-A",233,75,14,9
"YHR033W",165,94,28,33
"YHR036W",78,31,7,6
"YHR037W",132,65,25,14
"YHR040W",299,99,31,28
"YHR042W",1616,1181,562,406
"YHR045W",64,33,7,4
"YHR049W",1329,1143,534,141
"YHR050W",126,63,46,17
"YHR051W",178,118,54,22
"YHR052W",389,103,25,16
"YHR059W",87,22,8,7
"YHR060W",406,264,135,70
"YHR066W",648,290,87,56
"YHR068W",1269,989,427,298
"YHR070W",36,58,23,12
"YHR071W",228,184,124,146
"YHR072W",425,229,74,43
"YHR072W-A",1832,1212,407,150
"YHR073W/YHR073W-A",220,167,65,56
"YHR074W",228,165,46,17
"YHR076W",272,192,78,37
"YHR078W",516,274,149,110
"YHR081W",387,236,50,37
"YHR083W",355,277,61,22
"YHR085W",233,64,17,19
"YHR086W",47,22,12,14
"YHR087W",62,90,63,75
"YHR088W",355,246,68,51
"YHR099W",173,138,69,52
"YHR102W",104,34,19,10
"YHR103W",324,143,59,73
"YHR104W",373,424,188,116
"YHR106W",125,92,36,25
"YHR108W",589,479,169,65
"YHR109W",67,25,20,7
"YHR110W",508,315,106,45
"YHR111W",161,94,17,13
"YHR113W",246,200,64,35
"YHR114W",53,35,16,14
"YHR116W",65,33,23,11
"YHR117W",280,234,97,40
"YHR119W",95,50,28,15
"YHR120W",115,59,14,11
"YHR121W",192,127,56,22
"YHR122W",92,69,23,4
"YHR123W",137,96,42,11
"YHR127W",247,137,35,13
"YHR128W",727,556,201,78
"YHR132W-A",80,31,4,3
"YHR137W",50,69,53,82
"YHR140W",12,21,40,30
"YHR142W",522,205,32,26
"YHR143W",227,155,55,36
"YHR143W-A",346,194,64,25
"YHR146W",1528,1526,854,751
"YHR148W",94,42,4,7
"YHR152W",376,368,70,51
"YHR154W",336,208,37,27
"YHR155W",101,61,42,30
"YHR159W",28,7,10,4
"YHR162W",1716,1068,197,92
"YHR163W",384,407,204,207
"YHR167W",334,35,8,3
"YHR169W",255,76,24,15
"YHR170W",458,239,62,19
"YHR171W",31,39,21,12
"YHR174W",27101,22478,11524,8156
"YHR175W",4,62,41,24
"YHR175W-A",782,523,144,120
"YHR176W",143,560,262,247
"YHR177W",1,87,50,18
"YHR178W",57,64,37,16
"YHR179W",555,586,203,160
"YHR180W-A",27,167,76,37
"YHR181W",217,109,22,11
"YHR182W",103,64,37,23
"YHR183W",1349,1144,387,255
"YHR187W",153,44,8,8
"YHR190W",1782,1461,603,249
"YHR192W",188,132,42,24
"YHR194W",61,27,25,16
"YHR195W",60,28,18,9
"YHR196W",532,200,43,46
"YHR197W",430,143,40,20
"YHR200W",707,428,76,31
"YHR204W",248,173,54,65
"YHR205W",217,160,49,51
"YHR206W",75,28,16,8
"YHR208W",2042,1831,485,192
"YHR209W",15,41,15,25
"YHR214W-A",7,3,1,4
"YHR215W",959,705,278,156
"YHR216W",523,490,207,79
"YHR218W-A/YHR219W",223,126,57,54
"YJL225C",323,198,116,95
"YJL212C",102,16,9,2
"YJL208C",176,103,47,14
"YJL207C",307,144,86,71
"YJL206C",62,56,23,22
"YJL205C",171,139,55,23
"YJL204C",53,30,10,6
"YJL200C",457,336,92,51
"YJL199C",15,12,2,1
"YJL196C",213,113,45,25
"YJL192C",594,546,145,68
"YJL190C",11624,10646,4408,2763
"YJL187C",111,82,34,43
"YJL185C",46,29,10,7
"YJL180C",119,30,13,9
"YJL178C",280,260,67,48
"YJL176C",74,48,26,23
"YJL173C",381,266,99,20
"YJL171C",313,213,88,109
"YJL170C",130,122,40,19
"YJL168C",90,45,8,29
"YJL165C",129,76,33,44
"YJL164C",54,46,28,32
"YJL163C",28,11,11,4
"YJL162C",51,39,10,17
"YJL158C",2266,1522,557,280
"YJL157C",2001,226,117,97
"YJL155C",89,56,30,34
"YJL154C",321,140,54,53
"YJL153C",32,62,46,33
"YJL151C",965,779,333,115
"YJL147C",46,10,5,12
"YJL142C/YJL141C",143,141,67,72
"YJL138C",4828,3682,990,529
"YJL137C",53,70,46,36
"YJL136C",5618,4383,1566,1095
"YJL133C-A",648,885,362,275
"YJL131C",44,27,20,17
"YJL130C",2674,1461,291,210
"YJL129C",681,383,180,144
"YJL128C",75,27,15,6
"YJL127C-B",168,105,37,36
"YJL125C",112,42,12,21
"YJL124C",259,284,92,111
"YJL123C",1426,1282,543,319
"YJL121C",592,484,242,175
"YJL110C",78,42,16,14
"YJL109C",2828,1230,336,105
"YJL108C/YJL107C",61,36,12,15
"YJL103C",25,27,11,19
"YJL101C",254,135,37,23
"YJL094C",335,114,47,50
"YJL093C",148,75,49,27
"YJL091C",153,105,27,14
"YJL090C",68,48,22,12
"YJL087C/YJL086C",66,18,6,2
"YJL084C",68,40,18,11
"YJL081C",146,105,36,28
"YJL080C",844,551,190,108
"YJL079C",287,248,110,75
"YJL074C",107,54,16,12
"YJL072C",88,22,5,0
"YJL070C",36,65,45,32
"YJL069C",363,143,26,16
"YJL068C",135,151,67,34
"YJL066C",97,78,36,32
"YJL065C",206,64,26,16
"YJL063C",421,153,38,23
"YJL058C",53,19,13,15
"YJL057C",29,23,10,8
"YJL056C",109,38,31,17
"YJL048C",77,72,38,42
"YJL047C-A",265,132,97,34
"YJL047C",66,41,29,13
"YJL044C",137,74,32,26
"YJL039C",134,98,47,26
"YJL035C",171,150,89,76
"YJL031C",71,32,7,3
"YJL029C",332,161,56,47
"YJL024C",212,130,46,13
"YJL020C",229,177,103,88
"YJL013C",72,38,17,22
"YJL012C",479,264,39,31
"YJL011C",95,39,14,7
"YJL010C",349,133,21,11
"YJL008C",493,246,66,26
"YJL006C",72,29,6,7
"YJL004C",72,42,14,8
"YJL002C",1271,882,345,166
"YJR003C",164,77,47,26
"YJR005C-A",139,87,43,43
"YJR009C",18862,16077,7301,4069
"YJR011C",88,44,6,8
"YJR012C",56,26,6,9
"YJR016C",1191,732,203,56
"YJR017C",475,442,183,173
"YJR019C",201,194,53,55
"YJR021C",85,28,18,10
"YJR024C",161,114,26,14
"YJR025C",101,137,67,36
"YJR031C",136,69,29,19
"YJR033C",41,25,9,8
"YJR036C",26,19,5,10
"YJR041C",322,126,31,31
"YJR044C",569,674,305,327
"YJR045C",4389,3228,1155,1121
"YJR049C",174,95,66,50
"YJR056C",185,130,68,83
"YJR058C",361,183,37,31
"YJR062C",52,22,17,8
"YJR065C",1240,960,361,145
"YJR067C",50,35,8,4
"YJR069C",540,224,37,9
"YJR070C",1319,798,159,53
"YJR072C",739,559,250,118
"YJR073C",132,118,52,22
"YJR076C",125,108,26,37
"YJR077C",569,301,93,24
"YJR080C",148,86,22,13
"YJR082C",144,122,56,59
"YJR083C",52,14,4,7
"YJR085C",3286,2919,947,522
"YJR088C",2855,2752,779,237
"YJR090C",454,206,94,101
"YJR091C",127,165,72,122
"YJR093C",157,70,39,35
"YJR098C",36,24,9,5
"YJR100C",50,20,2,4
"YJR102C",52,39,14,6
"YJR104C",8444,6857,3573,1794
"YJR109C",321,160,58,30
"YJR111C",141,62,20,19
"YJR113C",452,140,57,23
"YJR118C",308,167,51,27
"YJR124C",244,179,71,35
"YJR125C",78,78,37,16
"YJR126C",156,151,52,52
"YJR127C",135,185,121,95
"YJR129C",57,49,31,26
"YJR130C",252,94,44,26
"YJR134C",92,80,14,12
"YJR136C",57,29,14,23
"YJR137C",96,56,19,18
"YJR139C",1923,1808,684,450
"YJR140C",175,110,39,28
"YJR143C",872,655,211,64
"YJR145C",6208,5327,2079,1197
"YJL218W",56,66,30,6
"YJL217W",615,616,237,176
"YJL213W",15,4,28,44
"YJL210W",104,40,27,17
"YJL209W",50,21,21,40
"YJL201W",264,234,112,141
"YJL198W",168,71,24,13
"YJL197W",221,79,43,25
"YJL194W",67,17,12,14
"YJL193W",104,41,14,11
"YJL191W",2392,1792,974,570
"YJL189W",1604,1323,466,396
"YJL186W",640,292,69,48
"YJL184W",321,198,97,41
"YJL183W",273,119,29,27
"YJL179W",203,183,46,35
"YJL177W",6072,5095,2052,1555
"YJL174W",585,298,90,70
"YJL172W",61,72,37,38
"YJL167W",2660,2409,1152,691
"YJL166W",323,286,71,26
"YJL161W",13,11,7,6
"YJL159W",501,363,122,123
"YJL150W/YJL149W",121,83,29,45
"YJL148W",693,277,70,44
"YJL146W",65,39,16,8
"YJL145W",252,234,103,41
"YJL144W",52,96,40,53
"YJL143W",762,392,129,94
"YJL140W",404,306,96,43
"YJL135W/YJL134W",183,81,26,9
"YJL133W",157,105,28,77
"YJL132W",13,13,6,4
"YJL126W",164,93,20,23
"YJL122W",1253,182,34,17
"YJL118W",148,77,13,14
"YJL117W",290,173,37,36
"YJL115W",265,234,77,41
"YJL112W",79,72,33,27
"YJL111W",935,489,146,49
"YJL104W",311,233,65,18
"YJL102W",260,221,93,60
"YJL100W",78,29,15,20
"YJL098W",239,61,28,28
"YJL097W",251,223,83,25
"YJL096W",69,27,7,3
"YJL095W",281,205,74,61
"YJL092W",189,98,41,31
"YJL089W",4,1,3,11
"YJL085W",92,36,14,11
"YJL082W",79,74,31,33
"YJL077W-A",244,149,81,91
"YJL076W",255,170,60,63
"YJL073W",140,45,16,18
"YJL071W",40,32,18,10
"YJL062W-A",200,121,26,12
"YJL062W",288,184,52,19
"YJL061W",142,46,12,10
"YJL060W",130,87,21,21
"YJL059W",89,46,12,6
"YJL055W",759,500,274,108
"YJL054W",238,137,33,15
"YJL053W",96,95,29,20
"YJL052W",92,79,54,36
"YJL051W",116,54,20,16
"YJL050W",498,288,68,38
"YJL049W",142,74,27,48
"YJL046W",110,28,16,16
"YJL042W",103,156,66,47
"YJL041W",272,173,47,21
"YJL036W",37,33,8,18
"YJL034W",1878,1753,689,546
"YJL033W",769,859,425,375
"YJL032W",1,126,97,110
"YJL030W",148,61,22,6
"YJL026W",478,527,178,170
"YJL016W",167,124,62,41
"YJL014W",421,308,81,28
"YJL005W",411,305,131,157
"YJL001W",1331,1065,343,90
"YJR001W",241,163,74,24
"YJR002W",88,58,18,8
"YJR005W",99,43,19,13
"YJR006W",233,160,66,27
"YJR007W",746,403,64,25
"YJR008W",27,50,12,11
"YJR010W",102,85,45,40
"YJR013W",232,53,16,5
"YJR014W",754,694,349,244
"YJR015W",408,288,84,39
"YJR027W/YJR026W",1473,1148,611,555
"YJR029W/YJR028W",1359,1036,566,533
"YJR032W",166,114,24,11
"YJR034W",52,30,3,3
"YJR035W",58,21,10,8
"YJR039W",42,25,21,22
"YJR040W",114,61,13,21
"YJR042W",138,109,40,39
"YJR046W",657,454,205,126
"YJR048W",2073,1826,616,226
"YJR050W",48,46,15,8
"YJR051W",322,218,80,30
"YJR052W",167,176,108,51
"YJR054W",242,66,26,20
"YJR057W",98,67,19,6
"YJR059W",155,168,110,107
"YJR061W",20,49,42,41
"YJR063W",492,203,23,18
"YJR064W",592,466,126,35
"YJR066W",84,50,34,27
"YJR068W",225,140,39,29
"YJR074W",137,69,29,18
"YJR075W",541,405,167,71
"YJR078W/YJR079W",18,19,9,13
"YJR084W",88,56,6,10
"YJR086W/YJR087W",274,148,23,14
"YJR089W",57,37,26,11
"YJR092W",167,77,27,16
"YJR094W-A",6181,4805,1646,755
"YJR095W",6,15,5,0
"YJR096W",67,59,43,15
"YJR097W",86,23,2,4
"YJR099W",145,98,39,18
"YJR101W",245,96,26,10
"YJR103W",393,231,99,45
"YJR105W",2067,1870,713,364
"YJR106W",19,19,12,5
"YJR107W",60,67,28,36
"YJR112W",115,31,11,3
"YJR112W-A",229,140,44,24
"YJR116W",154,103,53,18
"YJR117W",805,542,177,87
"YJR121W",499,355,97,47
"YJR122W",89,139,72,76
"YJR123W",6109,5055,1668,976
"YJR131W",91,79,38,10
"YJR132W",825,370,89,46
"YJR133W",389,188,77,30
"YJR135W-A",256,211,45,17
"YJR138W",77,42,19,19
"YJR141W",123,47,22,26
"YJR142W",129,82,45,8
"YJR144W",197,74,35,12
"YJR146W/YJR147W",113,112,47,29
"YJR148W",314,223,129,61
"YJR149W",87,59,26,28
"YJR159W",19,15,4,4
"YKL220C",102,52,24,18
"YKL218C",40,27,8,5
"YKL215C",46,42,34,20
"YKL214C",106,76,26,9
"YKL213C",278,145,45,24
"YKL211C",153,89,19,11
"YKL209C",243,88,18,7
"YKL206C",102,59,7,10
"YKL203C",117,112,42,31
"YKL201C",194,252,154,163
"YKL198C",154,84,60,24
"YKL196C",708,481,169,95
"YKL194C",144,76,45,47
"YKL193C",60,96,30,40
"YKL192C",1812,1551,502,331
"YKL188C",41,18,13,24
"YKL187C",28,40,17,37
"YKL186C",484,218,33,33
"YKL179C",118,45,13,18
"YKL176C",172,89,32,31
"YKL174C",101,70,24,17
"YKL168C",72,47,34,29
"YKL167C",160,69,15,13
"YKL166C",390,208,82,65
"YKL165C",270,82,28,10
"YKL164C",427,218,36,22
"YKL161C",44,24,8,16
"YKL159C",54,24,5,6
"YKL155C",64,53,21,17
"YKL152C",26371,24552,13134,9924
"YKL151C",55,69,36,17
"YKL149C",174,101,18,25
"YKL148C",46,41,20,23
"YKL144C",200,145,20,8
"YKL138C-A",81,78,37,15
"YKL138C",264,116,40,30
"YKL135C",144,98,37,31
"YKL134C",28,24,7,8
"YKL133C",17,25,8,5
"YKL130C",474,263,60,25
"YKL129C",93,62,21,31
"YKL128C",342,231,61,26
"YKL122C",324,228,46,29
"YKL119C",51,27,20,3
"YKL116C/YKL115C",77,44,21,12
"YKL114C",188,142,49,21
"YKL113C",218,67,19,10
"YKL110C",145,130,49,38
"YKL105C",55,55,23,24
"YKL104C",528,407,128,89
"YKL103C",129,83,40,42
"YKL100C",209,204,78,66
"YKL099C",148,104,31,5
"YKL092C",55,32,16,20
"YKL091C",43,39,19,10
"YKL087C",155,61,20,19
"YKL082C",284,232,83,58
"YKL076C/YKL075C",92,29,9,12
"YKL074C",128,56,8,11
"YKL065C",1211,936,202,130
"YKL063C",1052,268,63,50
"YKL060C",18688,16559,7817,5404
"YKL059C",109,39,6,4
"YKL057C",156,50,26,19
"YKL056C",11034,9725,3609,1803
"YKL054C",914,794,380,393
"YKL053C-A",434,202,39,45
"YKL052C",237,67,11,29
"YKL049C",130,43,7,6
"YKL048C",47,44,13,16
"YKL046C",579,355,121,91
"YKL040C",581,327,112,51
"YKL032C",235,277,102,143
"YKL029C",858,523,96,61
"YKL026C",10,18,11,13
"YKL025C",370,138,36,22
"YKL024C",271,243,82,84
"YKL022C",57,39,12,13
"YKL021C",100,50,10,10
"YKL020C",236,154,91,146
"YKL018C-A",210,78,11,11
"YKL016C",514,437,110,28
"YKL014C",294,152,54,39
"YKL013C",2364,1974,896,263
"YKL011C",79,47,19,26
"YKL010C",111,36,29,29
"YKL008C",144,115,35,19
"YKL006C-A",351,173,64,38
"YKL005C",347,216,114,94
"YKL003C",384,116,21,8
"YKL001C",89,48,15,12
"YKR001C",544,442,197,81
"YKR004C",26,18,10,20
"YKR006C",214,67,22,15
"YKR009C",53,36,10,10
"YKR010C",68,34,16,14
